starttime	seconds	ctime	dtime	ttime	wait
Thu Dec 21 06:03:47 2023	1703131427	0	0	0	0
Thu Dec 21 06:03:47 2023	1703131427	0	1	1	1
Thu Dec 21 06:03:47 2023	1703131427	0	1	1	1
Thu Dec 21 06:03:47 2023	1703131427	0	1	1	1
Thu Dec 21 06:03:47 2023	1703131427	0	1	1	1
Thu Dec 21 06:03:47 2023	1703131427	0	1	1	1
Thu Dec 21 06:03:47 2023	1703131427	0	1	1	1
Thu Dec 21 06:03:47 2023	1703131427	0	1	1	1
Thu Dec 21 06:03:47 2023	1703131427	0	1	1	1
Thu Dec 21 06:03:47 2023	1703131427	0	1	1	1
Thu Dec 21 06:03:47 2023	1703131427	0	1	1	1
Thu Dec 21 06:03:47 2023	1703131427	0	1	2	1
Thu Dec 21 06:03:47 2023	1703131427	0	1	2	1
Thu Dec 21 06:03:47 2023	1703131427	0	2	2	2
Thu Dec 21 06:03:47 2023	1703131427	0	2	2	2
Thu Dec 21 06:03:47 2023	1703131427	0	1	2	1
Thu Dec 21 06:03:47 2023	1703131427	0	2	2	2
Thu Dec 21 06:03:47 2023	1703131427	0	2	2	2
Thu Dec 21 06:03:47 2023	1703131427	0	2	2	2
Thu Dec 21 06:03:47 2023	1703131427	0	2	2	2
Thu Dec 21 06:03:47 2023	1703131427	0	2	2	2
Thu Dec 21 06:03:47 2023	1703131427	0	2	2	2
Thu Dec 21 06:03:47 2023	1703131427	0	3	3	3
Thu Dec 21 06:03:47 2023	1703131427	0	3	3	3
Thu Dec 21 06:03:47 2023	1703131427	0	3	3	3
Thu Dec 21 06:03:47 2023	1703131427	0	3	3	3
Thu Dec 21 06:03:47 2023	1703131427	0	3	3	3
Thu Dec 21 06:03:47 2023	1703131427	0	3	3	3
Thu Dec 21 06:03:47 2023	1703131427	0	3	3	3
Thu Dec 21 06:03:47 2023	1703131427	0	3	3	3
Thu Dec 21 06:03:47 2023	1703131427	0	3	3	3
Thu Dec 21 06:03:47 2023	1703131427	0	3	3	3
Thu Dec 21 06:03:47 2023	1703131427	0	3	3	3
