starttime	seconds	ctime	dtime	ttime	wait
Thu Dec 21 06:01:22 2023	1703131282	0	0	0	0
Thu Dec 21 06:01:22 2023	1703131282	0	1	1	1
Thu Dec 21 06:01:22 2023	1703131282	0	1	1	1
Thu Dec 21 06:01:22 2023	1703131282	0	1	1	1
Thu Dec 21 06:01:22 2023	1703131282	0	1	1	1
Thu Dec 21 06:01:22 2023	1703131282	0	1	1	1
Thu Dec 21 06:01:22 2023	1703131282	0	1	1	1
Thu Dec 21 06:01:22 2023	1703131282	0	2	2	1
Thu Dec 21 06:01:22 2023	1703131282	0	2	2	2
Thu Dec 21 06:01:22 2023	1703131282	0	2	3	2
Thu Dec 21 06:01:22 2023	1703131282	0	3	3	2
Thu Dec 21 06:01:22 2023	1703131282	0	3	3	3
Thu Dec 21 06:01:22 2023	1703131282	0	3	3	2
Thu Dec 21 06:01:22 2023	1703131282	0	3	3	3
Thu Dec 21 06:01:22 2023	1703131282	0	3	3	3
Thu Dec 21 06:01:22 2023	1703131282	0	3	3	3
Thu Dec 21 06:01:22 2023	1703131282	1	3	3	3
Thu Dec 21 06:01:22 2023	1703131282	1	3	3	2
Thu Dec 21 06:01:22 2023	1703131282	0	3	4	3
Thu Dec 21 06:01:22 2023	1703131282	1	3	4	3
Thu Dec 21 06:01:22 2023	1703131282	0	4	4	3
Thu Dec 21 06:01:22 2023	1703131282	0	4	4	4
Thu Dec 21 06:01:22 2023	1703131282	1	3	4	3
Thu Dec 21 06:01:22 2023	1703131282	0	4	4	1
Thu Dec 21 06:01:22 2023	1703131282	0	4	4	4
Thu Dec 21 06:01:22 2023	1703131282	0	4	4	4
Thu Dec 21 06:01:22 2023	1703131282	1	3	4	3
Thu Dec 21 06:01:22 2023	1703131282	1	3	4	3
Thu Dec 21 06:01:22 2023	1703131282	0	5	5	4
Thu Dec 21 06:01:22 2023	1703131282	0	5	5	4
Thu Dec 21 06:01:22 2023	1703131282	1	4	5	3
Thu Dec 21 06:01:22 2023	1703131282	3	2	6	2
Thu Dec 21 06:01:22 2023	1703131282	3	3	6	2
Thu Dec 21 06:01:22 2023	1703131282	0	6	6	5
Thu Dec 21 06:01:22 2023	1703131282	3	3	6	2
Thu Dec 21 06:01:22 2023	1703131282	2	4	6	4
Thu Dec 21 06:01:22 2023	1703131282	4	2	6	2
Thu Dec 21 06:01:22 2023	1703131282	3	3	6	3
Thu Dec 21 06:01:22 2023	1703131282	3	3	6	3
Thu Dec 21 06:01:22 2023	1703131282	3	4	6	4
Thu Dec 21 06:01:22 2023	1703131282	4	3	6	2
Thu Dec 21 06:01:22 2023	1703131282	3	4	6	3
Thu Dec 21 06:01:22 2023	1703131282	4	3	6	3
Thu Dec 21 06:01:22 2023	1703131282	3	3	6	3
Thu Dec 21 06:01:22 2023	1703131282	3	4	6	3
Thu Dec 21 06:01:22 2023	1703131282	3	3	7	3
Thu Dec 21 06:01:22 2023	1703131282	3	4	7	4
Thu Dec 21 06:01:22 2023	1703131282	0	7	7	2
Thu Dec 21 06:01:22 2023	1703131282	1	5	7	4
Thu Dec 21 06:01:22 2023	1703131282	3	4	7	3
Thu Dec 21 06:01:22 2023	1703131282	3	4	7	4
Thu Dec 21 06:01:22 2023	1703131282	1	6	7	6
Thu Dec 21 06:01:22 2023	1703131282	3	4	7	4
Thu Dec 21 06:01:22 2023	1703131282	3	3	7	3
Thu Dec 21 06:01:22 2023	1703131282	0	7	7	6
Thu Dec 21 06:01:22 2023	1703131282	3	4	7	3
Thu Dec 21 06:01:22 2023	1703131282	3	4	7	4
Thu Dec 21 06:01:22 2023	1703131282	4	3	7	3
Thu Dec 21 06:01:22 2023	1703131282	3	4	7	4
Thu Dec 21 06:01:22 2023	1703131282	4	4	7	3
Thu Dec 21 06:01:22 2023	1703131282	3	4	7	4
Thu Dec 21 06:01:22 2023	1703131282	1	6	7	6
Thu Dec 21 06:01:22 2023	1703131282	0	7	8	7
Thu Dec 21 06:01:22 2023	1703131282	0	8	8	7
Thu Dec 21 06:01:22 2023	1703131282	3	4	8	3
Thu Dec 21 06:01:22 2023	1703131282	4	4	8	3
Thu Dec 21 06:01:22 2023	1703131282	2	6	8	5
Thu Dec 21 06:01:22 2023	1703131282	4	4	8	2
Thu Dec 21 06:01:22 2023	1703131282	3	5	8	4
Thu Dec 21 06:01:22 2023	1703131282	4	4	8	4
Thu Dec 21 06:01:22 2023	1703131282	3	5	8	4
Thu Dec 21 06:01:22 2023	1703131282	4	4	8	2
Thu Dec 21 06:01:22 2023	1703131282	4	4	8	2
Thu Dec 21 06:01:22 2023	1703131282	3	5	8	3
